tds_name,tds_table_name,tds_column_name
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053552
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053551
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,begintime
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,duration
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053559
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053552
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053551
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,begintime
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,duration
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053559
t_f05_dns_m1728053448,pms.t_dim_mdatetime,holiday
t_f05_dns_m1728053448,pms.t_dim_mdatetime,month
t_f05_dns_m1728053448,pms.t_dim_mdatetime,time_key
t_f05_dns_m1728053448,pms.t_dim_mdatetime,hour
t_f15_dns_m1728053448,pms.t_dim_mdatetime,holiday
t_f15_dns_m1728053448,pms.t_dim_mdatetime,month
t_f15_dns_m1728053448,pms.t_dim_mdatetime,time_key
t_f15_dns_m1728053448,pms.t_dim_mdatetime,hour
t_f60_dns_m1728053448,pms.t_dim_mdatetime,holiday
t_f60_dns_m1728053448,pms.t_dim_mdatetime,month
t_f60_dns_m1728053448,pms.t_dim_mdatetime,time_key
t_f60_dns_m1728053448,pms.t_dim_mdatetime,hour
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,begintime
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,duration
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053559
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053552
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053551
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053549
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,time_id
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,measobjldn
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,ne_sys_id
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053549
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,time_id
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,measobjldn
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,ne_sys_id
t_f05_dns_m1728053448,pms.t_dim_mdatetime,time_id
t_f05_dns_m1728053448,pms.t_dim_mdatetime,weekday
t_f15_dns_m1728053448,pms.t_dim_mdatetime,time_id
t_f15_dns_m1728053448,pms.t_dim_mdatetime,weekday
t_f60_dns_m1728053448,pms.t_dim_mdatetime,time_id
t_f60_dns_m1728053448,pms.t_dim_mdatetime,weekday
t_f05_dns_m1728053448,pms.t_dim_dns,dim_end_date
t_f05_dns_m1728053448,pms.t_dim_dns,dim_start_date
t_f15_dns_m1728053448,pms.t_dim_dns,dim_end_date
t_f15_dns_m1728053448,pms.t_dim_dns,dim_start_date
t_f60_dns_m1728053448,pms.t_dim_dns,dim_end_date
t_f60_dns_m1728053448,pms.t_dim_dns,dim_start_date
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,time_id
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,measobjldn
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,ne_sys_id
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053549
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053550
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053548
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,userlabel
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053558
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053550
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053548
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,userlabel
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053558
t_f05_dns_m1728053448,pms.t_dim_mdatetime,year
t_f05_dns_m1728053448,pms.t_dim_mdatetime,date_key
t_f15_dns_m1728053448,pms.t_dim_mdatetime,year
t_f15_dns_m1728053448,pms.t_dim_mdatetime,date_key
t_f60_dns_m1728053448,pms.t_dim_mdatetime,year
t_f60_dns_m1728053448,pms.t_dim_mdatetime,date_key
t_f05_dns_m1728053448,pms.t_dim_dns,rec_islive
t_f05_dns_m1728053448,pms.t_dim_dns,ne_name
t_f15_dns_m1728053448,pms.t_dim_dns,rec_islive
t_f15_dns_m1728053448,pms.t_dim_dns,ne_name
t_f60_dns_m1728053448,pms.t_dim_dns,rec_islive
t_f60_dns_m1728053448,pms.t_dim_dns,ne_name
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,userlabel
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053558
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053550
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053548
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053555
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053554
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053553
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,inserttime
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053562
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053561
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053560
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053557
t_f05_dns_m1728053448,pms.t_f05_dns_m1728053448,c1728053556
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,inserttime
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053562
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053561
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053560
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053557
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053556
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053555
