Alert No,Timeframe,NE Type,Alarm Category
CM200,second 15 mins,3G,RAN
CM201,second 15 mins,3G,RAN
CM203,second 15 mins,2G,RAN
CM204,second 15 mins,4G,RAN
ON001,second 15 mins,4G,RAN
ON002,second 15 mins,RUCKUS,WiFi
ON003,second 15 mins,RUCKUS,WiFi
ON004,second 15 mins,RUCKUS,WiFi
ON005,second 15 mins,RNC,RNC
ON006,second 15 mins,RNC,RNC
ON007,second 15 mins,RNC,RNC
ON008,second 15 mins,RNC,RNC
ON009,second 15 mins,4G CELL,WNPD
ON010,second 15 mins,4G CELL,WNPD
ON011,second 15 mins,4G CELL,WNPD
ON012,second 15 mins,3G CELL,WNPD
ON013,second 15 mins,3G CELL,WNPD
ON014,second 15 mins,4G CELL,WNPD
ON015,second 15 mins,RNC,WNPD
ON016,second 15 mins,MTR,WNPD
ON017,second 15 mins,4G CELL,WNPD
ON019,second 15 mins,4G CELL,WNPD
ON020,second 15 mins,4G CELL,WNPD
ON021,second 15 mins,4G CELL,WNPD
ON022,second 15 mins,4G CELL,WNPD
ON023,Latest Hour,4G CELL,WNPD
ON024,Latest 2 15 mins,4G CELL,WNPD
ON025,Latest Hour,4G CELL,WNPD
ON026,Latest 2 15 mins,CDMABTS,WNPD
ON027,Latest 2 15 mins,CDMABTS,WNPD
ON028,Latest 2 15 mins,4G CELL,WNPD
ON029,Latest 2 15 mins,4G,WNPD
ON030,second 15 mins,4G,WNPD
ON031,third 15 mins,4G,WNPD
ON032,Last 2 hours,4G,WNPD
ON033,Yesterday,4G,WNPD
ON100,last 15 mins(PA alert),4G,WNPD
ON101,last 15 mins(PA alert),4G,WNPD
ON102,last 15 mins(PA alert),4G CELL,WNPD
ON103,last 15 mins(PA alert),4G CELL,WNPD
ON104,last 15 mins(PA alert),4G CELL,WNPD
ON105,last 15 mins(PA alert),4G CELL,WNPD
ON106,last 15 mins(PA alert),4G CELL,WNPD
ON107,last 15 mins(PA alert),4G CELL,WNPD
ON108,last 15 mins(PA alert),4G CELL,WNPD
ON109,last 15 mins(PA alert),4G CELL,WNPD
ON110,last 15 mins(PA alert),4G CELL,WNPD
ON111,last 15 mins(PA alert),4G CELL,WNPD
ON112,last 15 mins(PA alert),4G CELL,WNPD
ON113,last 15 mins(PA alert),4G CELL,WNPD
ON114,last 15 mins(PA alert),WiFi,WNPD
ON115,last 15 mins(PA alert),WiFi,WNPD
ON116,last 15 mins(PA alert),MTR,WNPD
ON117,last 15 mins(PA alert),WiFi,WNPD
ON118,last 15 mins(PA alert),WiFi,WNPD
ON119,last 15 mins(PA alert),WiFi,WNPD
ON120,last 15 mins(PA alert),RAN,WNPD
ON121,Last hour,RAN,WNPD
ON122,last 15 mins(PA alert),RAN,WNPD
ON123,last 15 mins(PA alert),eMSC,CS Core
ON124,last 15 mins(PA alert),eMSC,CS Core
ON125,last 15 mins(PA alert),eMSC,CS Core
ON126,same day last week of last 2nd 5 mins,eMSC,CS Core
ON127,last 15 mins(PA alert),UGW,UGW
ON128,last 15 mins(PA alert),UGW,UGW
ON129,last 15 mins(PA alert),UGW,UGW
ON130,last 15 mins(PA alert),UGW,UGW
ON131,last 15 mins(PA alert),UGW,UGW
ON132,last 15 mins(PA alert),IMS,IMS
ON133,last 15 mins(PA alert),MSC,MSC
ON134,last 15 mins(PA alert),Node,RAN
ON135,last 15 mins(PA alert),Link,IPBB
ON136,last 15 mins(PA alert),Agent,BO Agent
ON137,last 15 mins(PA alert),3G,RAN
ON138,last 15 mins(PA alert),IoTvUGW,IoT
ON139,last 15 mins(PA alert),IoTvUGW,IoT
ON140,last 15 mins(PA alert),IoTvUGW,IoT
ON200,last 15 mins(PA alert),IoTvUGW,IoT
ON201,last 15 mins(PA alert),IoTvUGW,IoT
ON202,last 15 mins(PA alert),IoTvUGW,IoT
ON203,last 15 mins(PA alert),IoTvUGW,IoT
ON204,last 15 mins(PA alert),IoTvUGW,IoT
ON205,last 15 mins(PA alert),IoTvUGW,IoT
ON206,last hour,IoTvUGW,IoT
ON207,last 15 mins(PA alert),IoT-vUSN,IoT
ON208,last 15 mins(PA alert),IoT-vUSN,IoT
ON209,last 15 mins(PA alert),IoT-vUSN,IoT
ON210,last 15 mins(PA alert),IoT-vUSN,IoT
ON211,last 15 mins(PA alert),IoT-vUSN,IoT
ON212,Yesterday,IoT-vUSN,IoT
ON213,Yesterday,IoT-vUSN,IoT
ON214,last 15 mins(PA alert),MTR,
ON215,last 15 mins(PA alert),MTR,
ON216,last 15 mins(PA alert),MTR,
ON217,last 15 mins(PA alert),MTR,
